particleCap,steps,rank,function,lineno,hits,time_s,code
1000,100,9,main,144,999,148.4963,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
1000,100,10,particle_collision,58,999,46.1311,    stickyInitialTest = np.nonzero(lattice)
1000,100,11,main,145,999,46.0744,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
1000,100,12,particle_collision,68,999,45.6048,    latticeCheck = np.nonzero(lattice)
1000,100,13,lattice_radius_check,78,999,45.5943,    latticeRadiusInitial = np.nonzero(lattice)
1000,100,14,particle_collision,63,2001996,30.9940,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
1000,100,15,main,130,17070,29.2097,"            path = generate_path(steps, startingPosition)"
1000,100,16,generate_path,47,1689930,14.3552,        path[n+1] = particlePosition + movements[direction[n]]
1000,100,17,main,184,921078,12.7100,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
1000,100,18,main,201,6175572,11.9576,                    filled += 1
1000,100,19,main,135,1656467,11.8779,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
1000,100,20,particle_collision,65,2001996,6.3725,"        stickyLattice[stickySitesTest[n][0], stickySitesTest[n][1]] = 1"
1000,1000,1,main,190,89967942,362.1779,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
1000,1000,2,main,195,89967942,287.7451,"                row = int(coords[n,0])"
1000,1000,3,main,196,89967942,284.9139,"                column = int(coords[n,1])"
1000,1000,4,main,198,89967942,233.8211,                if check == 0:
1000,1000,5,main,197,89967942,223.5224,"                check = correlationLattice[row, column]"
1000,1000,6,main,199,83827218,193.9883,                    empty += 1
1000,1000,7,main,194,89977932,156.3471,            for n in range(len(coords)):
1000,1000,8,main,144,999,150.0394,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
1000,1000,9,main,189,89977932,145.7198,            for n in range(len(coordsToCheck[0])):
1000,1000,10,main,130,4768,77.0506,"            path = generate_path(steps, startingPosition)"
1000,1000,11,particle_collision,58,999,45.6060,    stickyInitialTest = np.nonzero(lattice)
1000,1000,12,particle_collision,68,999,45.0208,    latticeCheck = np.nonzero(lattice)
1000,1000,13,main,145,999,44.7794,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
1000,1000,14,lattice_radius_check,78,999,44.3248,    latticeRadiusInitial = np.nonzero(lattice)
1000,1000,15,generate_path,47,4763232,40.9740,        path[n+1] = particlePosition + movements[direction[n]]
1000,1000,16,particle_collision,63,2001996,33.3320,"            stickySitesTest.append((stickyInitialTest[0][o], stickyInitialTest[1][o]) + movements[n])"
1000,1000,17,main,135,4191170,29.8931,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
1000,1000,18,main,184,921078,12.4429,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
1000,1000,19,main,141,4191170,11.4483,                if logicCheck[n] == 1:
1000,1000,20,main,201,6140724,10.8764,                    filled += 1
